,id,sentiment
0,498471,1
1,361243,0
2,336568,0
3,267033,1
4,185069,1
5,452241,1
6,290270,1
7,214537,1
8,382743,0
9,155002,1
10,128634,1
11,249691,0
12,503406,1
13,47573,1
14,313541,1
15,236110,0
16,124303,0
17,419889,1
18,263894,1
19,639061,0
20,402221,1
21,605322,1
22,127400,0
23,378325,1
24,76806,1
25,376092,1
26,170830,0
27,11720,0
28,4698,1
29,469653,0
30,510544,1
31,110180,0
32,590326,1
33,152206,1
34,580219,0
35,239828,1
36,268976,1
37,478270,1
38,564394,1
39,352939,0
40,484736,0
41,132079,1
42,104192,0
43,138988,1
44,356105,0
45,267708,1
46,198661,1
47,129330,1
48,371800,0
49,56031,1
50,375613,0
51,12359,0
52,92202,0
53,290977,1
54,261964,1
55,472860,0
56,542024,1
57,605073,1
58,328335,0
59,605258,1
60,531345,1
61,419135,0
62,66372,0
63,138258,0
64,413068,1
65,72548,0
66,523122,1
67,387754,0
68,582515,1
69,273852,0
70,107701,0
71,276999,0
72,263090,0
73,595536,0
74,425225,0
75,591492,1
76,253216,0
77,427058,1
78,271670,1
79,474217,1
80,162204,1
81,330068,1
82,413064,1
83,520228,1
84,102351,0
85,327892,0
86,243797,1
87,128985,0
88,480527,0
89,466636,1
90,514648,1
91,428471,1
92,419903,1
93,233975,1
94,114153,1
95,97744,0
96,355211,0
97,191188,1
98,238584,1
99,461226,1
100,476484,1
101,396013,0
102,507819,0
103,337799,0
104,102528,0
105,316538,1
106,123766,0
107,195755,1
108,602278,1
109,297210,0
110,46895,1
111,289704,1
112,4314,1
113,242594,1
114,191243,1
115,486591,0
116,394099,0
117,166711,0
118,603308,0
119,72512,0
120,264671,1
121,450399,0
122,393317,0
123,214134,1
124,639538,0
125,528278,0
126,132678,0
127,367332,1
128,165212,0
129,470746,0
130,154138,1
131,35214,1
132,68345,0
133,88791,0
134,390653,1
135,514246,1
136,638115,1
137,111240,1
138,225745,1
139,184121,1
140,638739,0
141,621917,1
142,521627,0
143,616931,0
144,349130,0
145,196049,1
146,252926,0
147,273675,1
148,535700,0
149,530783,0
150,324811,1
151,193807,1
152,620189,0
153,319724,1
154,369683,1
155,36182,1
156,563995,0
157,51209,0
158,139054,0
159,229448,1
160,630044,1
161,30578,0
162,284496,1
163,323574,0
164,614111,1
165,572046,1
